task,source_file,setting,embedding,baseline,primary_metric,secondary_metric,primary_value,primary_baseline,primary_delta,secondary_value,secondary_baseline,secondary_delta,failure_type
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=hHep500->mHSC-E500;setting=transfer;train_dataset=hHep500;test_dataset=mHSC-E500;clf=lr;coverage=487/500->457/500,scconcept,baseline,auroc,auprc,0.5593293578774522,0.5438812548612911,0.015448103016161063,0.6707785662811103,0.697287568049853,-0.026509001768742713,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-E500;setting=in_domain;train_dataset=mHSC-E500;test_dataset=mHSC-E500;clf=lr;coverage=457/500,v4_plain_best,baseline,auroc,auprc,0.6377365828364014,0.6293103448275862,0.008426238008815257,0.7349906114843592,0.7543718838744,-0.019381272390040838,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-E500;setting=in_domain;train_dataset=mHSC-E500;test_dataset=mHSC-E500;clf=mlp;coverage=457/500,scGPT_human,baseline,auroc,auprc,0.7176346037507562,0.7151499438250799,0.002484659925676258,0.8160154102561563,0.833281357904529,-0.017265947648372637,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-E500->mHSC-L500;setting=transfer;train_dataset=mHSC-E500;test_dataset=mHSC-L500;clf=mlp;coverage=457/500->442/500,cl_scratch_v5,baseline,auroc,auprc,0.694629635165974,0.6812759723758558,0.013353662790118181,0.7618652810931377,0.7789896565072654,-0.0171243754141277,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-L500->mHSC-GM500;setting=transfer;train_dataset=mHSC-L500;test_dataset=mHSC-GM500;clf=lr;coverage=442/500->449/500,v4_plain_best,baseline,auroc,auprc,0.7665615141955835,0.7652839116719243,0.0012776025236591604,0.8010885330576871,0.8147551108798285,-0.013666577822141424,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=hHep500->mHSC-E500;setting=transfer;train_dataset=hHep500;test_dataset=mHSC-E500;clf=lr;coverage=487/500->457/500,minus,baseline,auroc,auprc,0.5506438510068273,0.5438812548612911,0.006762596145536204,0.6846444807823333,0.697287568049853,-0.012643087267519726,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=hHep500->mHSC-L500;setting=transfer;train_dataset=hHep500;test_dataset=mHSC-L500;clf=lr;coverage=487/500->442/500,v4_bias_rec_best,baseline,auroc,auprc,0.4859039134204311,0.4711899708013194,0.014713942619111686,0.6041129443171906,0.616721822721746,-0.01260887840455538,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-GM500;setting=in_domain;train_dataset=mHSC-GM500;test_dataset=mHSC-GM500;clf=mlp;coverage=449/500,scGPT_human,baseline,auroc,auprc,0.7471135646687695,0.7438170347003155,0.003296529968454087,0.8115148358580407,0.8231978577514298,-0.0116830218933891,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-GM500->mHSC-E500;setting=transfer;train_dataset=mHSC-GM500;test_dataset=mHSC-E500;clf=mlp;coverage=449/500->457/500,scconcept,baseline,auroc,auprc,0.760997320888428,0.7495894909688013,0.011407829919626633,0.8193138672369116,0.8309937831832287,-0.011679915946317121,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-GM500;setting=in_domain;train_dataset=mHSC-GM500;test_dataset=mHSC-GM500;clf=lr;coverage=449/500,minus,baseline,auroc,auprc,0.7135173501577285,0.7084542586750788,0.0050630914826497175,0.7689490353364183,0.7766542169412671,-0.0077051816048487876,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-GM500;setting=in_domain;train_dataset=mHSC-GM500;test_dataset=mHSC-GM500;clf=mlp;coverage=449/500,v4_bias_rec_best,baseline,auroc,auprc,0.7453470031545741,0.7438170347003155,0.0015299684542586789,0.8160338767296381,0.8231978577514298,-0.007163981021791721,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=hHep500->mHSC-GM500;setting=transfer;train_dataset=hHep500;test_dataset=mHSC-GM500;clf=lr;coverage=487/500->449/500,cl_v6_fair,baseline,auroc,auprc,0.4855362776025237,0.4844794952681388,0.001056782334384887,0.6029686938208798,0.6097750319641748,-0.00680633814329501,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=hHep500->mHSC-L500;setting=transfer;train_dataset=hHep500;test_dataset=mHSC-L500;clf=lr;coverage=487/500->442/500,minus,baseline,auroc,auprc,0.5036672745572862,0.4711899708013194,0.0324773037559668,0.6115066234040984,0.616721822721746,-0.005215199317647579,AUROC improves but AUPRC drops
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-L500;setting=in_domain;train_dataset=mHSC-L500;test_dataset=mHSC-L500;clf=mlp;coverage=442/500,v4_bias_rec_best,baseline,auroc,auprc,0.7528177225029149,0.7434900893898174,0.009327633113097478,0.8148297986169186,0.8200286067549272,-0.005198808138008548,AUROC improves but AUPRC drops
