task,source_file,setting,embedding,comparator,metric,value,comparator_value,delta_vs_comparator_positive_is_better,metric_direction,is_failure,is_improvement,failure_magnitude,improvement_magnitude,small_test_warning,small_train_warning,diagnostic_only,severity_if_negative,direction
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=hHep500->mHSC-GM500;setting=transfer;train_dataset=hHep500;test_dataset=mHSC-GM500;clf=lr;coverage=487/500->449/500,baseline,scGPT_human,auprc,0.6097750319641748,0.7005568204577228,-0.09078178849354801,higher_is_better,True,False,0.09078178849354801,0,False,False,False,0.09078178849354801,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-E500->mHSC-L500;setting=transfer;train_dataset=mHSC-E500;test_dataset=mHSC-L500;clf=lr;coverage=457/500->442/500,baseline,scGPT_human,auprc,0.6557474632447104,0.7382077911439779,-0.0824603278992675,higher_is_better,True,False,0.0824603278992675,0,False,False,False,0.0824603278992675,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-E500;setting=in_domain;train_dataset=mHSC-E500;test_dataset=mHSC-E500;clf=lr;coverage=457/500,baseline,scGPT_human,auprc,0.7543718838744,0.793279505028745,-0.038907621154344985,higher_is_better,True,False,0.038907621154344985,0,False,False,False,0.038907621154344985,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-L500->mHSC-GM500;setting=transfer;train_dataset=mHSC-L500;test_dataset=mHSC-GM500;clf=lr;coverage=442/500->449/500,baseline,scGPT_human,auprc,0.8147551108798285,0.851429866969966,-0.036674756090137484,higher_is_better,True,False,0.036674756090137484,0,False,False,False,0.036674756090137484,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=hHep500->mHSC-L500;setting=transfer;train_dataset=hHep500;test_dataset=mHSC-L500;clf=lr;coverage=487/500->442/500,baseline,scGPT_human,auprc,0.616721822721746,0.65313099580864,-0.03640917308689395,higher_is_better,True,False,0.03640917308689395,0,False,False,False,0.03640917308689395,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-GM500->mHSC-L500;setting=transfer;train_dataset=mHSC-GM500;test_dataset=mHSC-L500;clf=mlp;coverage=449/500->442/500,baseline,scGPT_human,auprc,0.8397986218099671,0.8709863318116099,-0.031187710001642777,higher_is_better,True,False,0.031187710001642777,0,False,False,False,0.031187710001642777,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-L500->mHSC-GM500;setting=transfer;train_dataset=mHSC-L500;test_dataset=mHSC-GM500;clf=mlp;coverage=442/500->449/500,baseline,scGPT_human,auprc,0.9041699613819234,0.930260764880218,-0.026090803498294624,higher_is_better,True,False,0.026090803498294624,0,False,False,False,0.026090803498294624,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-L500;setting=in_domain;train_dataset=mHSC-L500;test_dataset=mHSC-L500;clf=mlp;coverage=442/500,baseline,scGPT_human,auprc,0.8200286067549272,0.8285945530752937,-0.008565946320366558,higher_is_better,True,False,0.008565946320366558,0,False,False,False,0.008565946320366558,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-E500->mHSC-L500;setting=transfer;train_dataset=mHSC-E500;test_dataset=mHSC-L500;clf=mlp;coverage=457/500->442/500,baseline,scGPT_human,auprc,0.7789896565072654,0.7841153603084456,-0.00512570380118027,higher_is_better,True,False,0.00512570380118027,0,False,False,False,0.00512570380118027,failure
grn,results/grn_embedding_only/grn_emb_only_results.csv,dataset=mHSC-GM500->mHSC-E500;setting=transfer;train_dataset=mHSC-GM500;test_dataset=mHSC-E500;clf=mlp;coverage=449/500->457/500,baseline,scGPT_human,auprc,0.8309937831832287,0.8343995512301818,-0.0034057680469531393,higher_is_better,True,False,0.0034057680469531393,0,False,False,False,0.0034057680469531393,failure
