train_dataset,test_dataset,clf,metric,embedding,native,coverage_matched,strict,topology_matched,delta_topology_minus_native,delta_strict_minus_coverage,rank_native,rank_coverage_matched,rank_strict,rank_topology_matched,rank_change_native_to_topology,native_wins_topology_loses,coverage_improves_strict_collapses,protocol_sensitivity_score,source_file
hESC,mHSC-L,mlp,auprc,cl_v6_fair,0.6743982,0.6222328,0.5804468,0.47343,-0.20096819999999993,-0.04178599999999999,1,2,4,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,auprc,cl_scratch_v5,0.4726116,0.496071,0.854905,0.849686,0.37707440000000003,0.35883400000000004,10,6,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mHSC-GM,mlp,auprc,v4_type_pe_best,0.761136,0.7046662,0.4095344,0.2010584,-0.5600776000000001,-0.2951318,1,5,2,10,9,True,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mDC,mHSC-E,mlp,auprc,minus,0.427358,0.4418628,0.48152160000000005,0.6441566,0.21679859999999995,0.03965880000000005,10,8,5,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mESC,mDC,mlp,auprc,cl_scratch_v5,0.5284254,0.5104992,0.8789216,0.6964808,0.16805539999999997,0.3684223999999999,1,6,10,10,9,True,True,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,hESC,lr,auprc,scconcept_encoded,0.5422654,0.4169606,0.47682420000000003,0.5956974,0.053432000000000035,0.05986360000000002,10,10,5,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-GM,mDC,mlp,auprc,scGPT_human,0.5138316,0.5246956,0.617062,0.639899,0.12606739999999994,0.09236639999999996,10,7,2,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
mHSC-L,mDC,mlp,auprc,v4_bias_rec_best,0.4778286,0.5573064,0.5838752,0.5999546,0.12212600000000001,0.02656880000000006,10,5,7,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hESC,mESC,lr,auroc,scconcept,0.4951538,0.4927926,0.5092346,0.5104338,0.015280000000000071,0.016441999999999957,10,4,4,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
hHep,mDC,lr,auroc,cl_scratch_v5,0.4394412,0.5149066,0.7422978,0.7409916,0.3015504,0.22739120000000002,10,5,1,1,-9,False,False,9,results/transfer_v2/embedding_transfer_summary_v2.csv
