gene,mse,mae,dataset,embedding,model,split_mode,prompt_ratio,seed
MIR21,0.0013323520543053746,0.02737456001341343,test_data,minus,ridge_pair,cell_holdout,0.1,0
LLNLF-158E9.1,0.04370198771357536,0.11564241349697113,test_data,minus,ridge_pair,cell_holdout,0.1,0
BNIP3P17,0.002077375305816531,0.02690553106367588,test_data,minus,ridge_pair,cell_holdout,0.1,0
CTC-412M14.6,0.006444537080824375,0.0376548171043396,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-638L3.2,0.09074123948812485,0.19004619121551514,test_data,minus,ridge_pair,cell_holdout,0.1,0
Y_RNA_ENSG00000252021,0.30193760991096497,0.37287279963493347,test_data,minus,ridge_pair,cell_holdout,0.1,0
YWHAQP6,0.013030803762376308,0.04910343140363693,test_data,minus,ridge_pair,cell_holdout,0.1,0
AC004985.12,0.0074053010903298855,0.04318930208683014,test_data,minus,ridge_pair,cell_holdout,0.1,0
MTCO2P34,0.009832642041146755,0.04738384857773781,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP5-1166A24.1,0.09105543792247772,0.17230679094791412,test_data,minus,ridge_pair,cell_holdout,0.1,0
PPIAP62,0.0019844803027808666,0.03366312384605408,test_data,minus,ridge_pair,cell_holdout,0.1,0
PAXBP1P1,0.01041465811431408,0.04616778716444969,test_data,minus,ridge_pair,cell_holdout,0.1,0
RNU2-65P,0.40147703886032104,0.4489406943321228,test_data,minus,ridge_pair,cell_holdout,0.1,0
LRRC37A6P,0.06745922565460205,0.1403016746044159,test_data,minus,ridge_pair,cell_holdout,0.1,0
CTD-3091F23.1,0.0016118098283186555,0.02971317619085312,test_data,minus,ridge_pair,cell_holdout,0.1,0
CTD-3222D19.8,0.013104614801704884,0.04442204162478447,test_data,minus,ridge_pair,cell_holdout,0.1,0
HMGB1P6,0.005856928415596485,0.034738264977931976,test_data,minus,ridge_pair,cell_holdout,0.1,0
AC097467.2,0.04761486500501633,0.10459745675325394,test_data,minus,ridge_pair,cell_holdout,0.1,0
MSMO1,0.2212943434715271,0.355461061000824,test_data,minus,ridge_pair,cell_holdout,0.1,0
RPS3P2,0.10172504186630249,0.19450415670871735,test_data,minus,ridge_pair,cell_holdout,0.1,0
GPR149,0.0393727570772171,0.09083912521600723,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP1-302D9.1,0.0150914266705513,0.04952164366841316,test_data,minus,ridge_pair,cell_holdout,0.1,0
OR2AG1,0.0025690796319395304,0.03858165442943573,test_data,minus,ridge_pair,cell_holdout,0.1,0
ARHGAP26-AS1,0.0018317021895200014,0.029263416305184364,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP5-832C2.5,0.00229401933029294,0.03070824034512043,test_data,minus,ridge_pair,cell_holdout,0.1,0
TMEM163,0.0017544592265039682,0.028162216767668724,test_data,minus,ridge_pair,cell_holdout,0.1,0
MIR7515HG,0.05993547663092613,0.09987810999155045,test_data,minus,ridge_pair,cell_holdout,0.1,0
MRGPRX4,0.001799255609512329,0.03222665190696716,test_data,minus,ridge_pair,cell_holdout,0.1,0
PRR12,0.0012593617429956794,0.025710638612508774,test_data,minus,ridge_pair,cell_holdout,0.1,0
RNU6-1316P,0.008691742084920406,0.03606721758842468,test_data,minus,ridge_pair,cell_holdout,0.1,0
AMY1A,0.002451364416629076,0.032639481127262115,test_data,minus,ridge_pair,cell_holdout,0.1,0
ARIH2OS,0.0023245299234986305,0.025456225499510765,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-700H6.2,0.0018503899918869138,0.03316836804151535,test_data,minus,ridge_pair,cell_holdout,0.1,0
ABCC1,0.006996683310717344,0.036011550575494766,test_data,minus,ridge_pair,cell_holdout,0.1,0
ADGRG7,0.0030699078924953938,0.03511056303977966,test_data,minus,ridge_pair,cell_holdout,0.1,0
ACSM6,0.005418145097792149,0.03806082904338837,test_data,minus,ridge_pair,cell_holdout,0.1,0
CR1,0.13262559473514557,0.24753861129283905,test_data,minus,ridge_pair,cell_holdout,0.1,0
CRCT1,0.02812776155769825,0.07064428925514221,test_data,minus,ridge_pair,cell_holdout,0.1,0
SMG7,0.0014435204211622477,0.029855340719223022,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-16L14.2,0.01825113594532013,0.057103171944618225,test_data,minus,ridge_pair,cell_holdout,0.1,0
CIBAR1P1,0.0020024923142045736,0.0300056841224432,test_data,minus,ridge_pair,cell_holdout,0.1,0
CTD-2619J13.9,0.0950070470571518,0.11351346224546432,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-717A5.3,0.0027329411823302507,0.029770800843834877,test_data,minus,ridge_pair,cell_holdout,0.1,0
CTD-2027I19.3,0.0015966310165822506,0.02917809970676899,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-42H13.1,0.001541654928587377,0.029861601069569588,test_data,minus,ridge_pair,cell_holdout,0.1,0
ERICH6,0.001075052423402667,0.025187524035573006,test_data,minus,ridge_pair,cell_holdout,0.1,0
WASHC4,0.0013485393719747663,0.029286086559295654,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP1-269M15.3,0.0014177031116560102,0.029307762160897255,test_data,minus,ridge_pair,cell_holdout,0.1,0
RNU6-1153P,0.001271564164198935,0.027801884338259697,test_data,minus,ridge_pair,cell_holdout,0.1,0
CWF19L2,0.0015953064430505037,0.029386812821030617,test_data,minus,ridge_pair,cell_holdout,0.1,0
RP11-24J19.1,0.0013561156811192632,0.029068244621157646,test_data,minus,ridge_pair,cell_holdout,0.1,0
GAPDHP28,0.001354236388579011,0.027690201997756958,test_data,minus,ridge_pair,cell_holdout,0.1,0
