dataset,source,network_group,n_genes,n_positive_edges_after_filter,n_tfs_after_filter,n_hvg,network_path,expression_path,train_n_total,train_n_positive,train_n_negative,train_positive_ratio,train_negative_to_positive_ratio,validation_n_total,validation_n_positive,validation_n_negative,validation_positive_ratio,validation_negative_to_positive_ratio,combined_train_n_total,combined_train_n_positive,combined_train_n_negative,combined_train_positive_ratio,combined_train_negative_to_positive_ratio,test_n_total,test_n_positive,test_n_negative,test_positive_ratio,test_negative_to_positive_ratio,random_auprc_baseline
hESC_Specific_500,BEELINE,Specific,500,712,9,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/hESC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hESC/ExpressionData.csv,3005,473,2532,0.15740432612312813,5.353065539112051,441,66,375,0.14965986394557823,5.681818181818182,3446,539,2907,0.1564132327336042,5.393320964749536,1051,173,878,0.16460513796384396,5.07514450867052,0.16460513796384396
hESC_Specific_1000,BEELINE,Specific,1000,1768,11,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/hESC-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hESC/ExpressionData.csv,7356,1181,6175,0.16054921152800436,5.228619813717189,1089,172,917,0.15794306703397612,5.3313953488372094,8445,1353,7092,0.1602131438721137,5.241685144124168,2551,415,2136,0.1626813014504116,5.146987951807229,0.1626813014504116
hESC_Non-Specific_500,BEELINE,Non-Specific,500,151,16,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/Non-specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hESC/ExpressionData.csv,5341,97,5244,0.018161392997566,54.06185567010309,784,11,773,0.01403061224489796,70.27272727272727,6125,108,6017,0.01763265306122449,55.71296296296296,1866,43,1823,0.02304394426580922,42.395348837209305,0.02304394426580922
hESC_Non-Specific_1000,BEELINE,Non-Specific,1000,625,42,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/Non-specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hESC/ExpressionData.csv,28084,404,27680,0.014385415183022362,68.51485148514851,4159,52,4107,0.012503005530175523,78.98076923076923,32243,456,31787,0.014142604596346494,69.70833333333333,9732,169,9563,0.017365392519523223,56.585798816568044,0.017365392519523223
hESC_STRING_500,BEELINE,STRING,500,95,24,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hESC/ExpressionData.csv,8001,59,7942,0.0073740782402199724,134.61016949152543,1176,1,1175,0.0008503401360544217,1175.0,9177,60,9117,0.006538084341288003,151.95,2799,35,2764,0.012504465880671669,78.97142857142858,0.012504465880671669
hESC_STRING_1000,BEELINE,STRING,1000,411,54,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hESC/ExpressionData.csv,36089,256,35833,0.007093574219291196,139.97265625,5346,22,5324,0.00411522633744856,242.0,41435,278,41157,0.006709303728731748,148.04676258992805,12511,133,12378,0.010630645032371513,93.06766917293233,0.010630645032371513
hHep_Specific_1000,BEELINE,Specific,1000,1145,5,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/HepG2-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hHep/ExpressionData.csv,3341,764,2577,0.22867404968572283,3.3730366492146597,495,113,382,0.22828282828282828,3.3805309734513274,3836,877,2959,0.2286235662148071,3.3740022805017102,1160,268,892,0.23103448275862068,3.328358208955224,0.23103448275862068
hHep_Non-Specific_500,BEELINE,Non-Specific,500,92,15,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/Non-specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hHep/ExpressionData.csv,5004,55,4949,0.010991207034372502,89.98181818181818,735,6,729,0.00816326530612245,121.5,5739,61,5678,0.010629029447638962,93.08196721311475,1753,31,1722,0.017683970336565887,55.54838709677419,0.017683970336565887
hHep_Non-Specific_1000,BEELINE,Non-Specific,1000,348,38,1000,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/Non-specific-ChIP-seq-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hHep/ExpressionData.csv,25411,223,25188,0.008775727047341702,112.95067264573991,3763,23,3740,0.006112144565506245,162.6086956521739,29174,246,28928,0.008432165626928086,117.59349593495935,8805,102,8703,0.011584327086882453,85.32352941176471,0.011584327086882453
hHep_STRING_500,BEELINE,STRING,500,256,21,500,/root/autodl-tmp/projects/comparison-SC-embedding/BEELINE/Networks/human/STRING-network.csv,/root/autodl-tmp/projects/comparison-SC-embedding/scRNA-Seq/hHep/ExpressionData.csv,7004,166,6838,0.023700742432895487,41.19277108433735,1029,16,1013,0.015549076773566569,63.3125,8033,182,7851,0.022656541765218474,43.137362637362635,2446,74,2372,0.03025347506132461,32.054054054054056,0.03025347506132461
