network_group,negative_protocol,embedding,clf,auroc_mean,auroc_std,auroc_min,auroc_max,auroc_count,auprc_mean,auprc_std,auprc_min,auprc_max,auprc_count,auprc_lift_mean,auprc_lift_std,auprc_lift_min,auprc_lift_max,auprc_lift_count,precision_at_k_mean,precision_at_k_std,precision_at_k_min,precision_at_k_max,precision_at_k_count,recall_at_k_mean,recall_at_k_std,recall_at_k_min,recall_at_k_max,recall_at_k_count,f1_mean,f1_std,f1_min,f1_max,f1_count,specificity_mean,specificity_std,specificity_min,specificity_max,specificity_count,random_auprc_baseline_mean,random_auprc_baseline_std,random_auprc_baseline_min,random_auprc_baseline_max,random_auprc_baseline_count,test_positive_ratio_mean,test_positive_ratio_std,test_positive_ratio_min,test_positive_ratio_max,test_positive_ratio_count,test_negative_to_positive_ratio_mean,test_negative_to_positive_ratio_std,test_negative_to_positive_ratio_min,test_negative_to_positive_ratio_max,test_negative_to_positive_ratio_count,delta_auprc_vs_baseline_mean,delta_auprc_vs_baseline_std,delta_auprc_vs_baseline_min,delta_auprc_vs_baseline_max,delta_auprc_vs_baseline_count,lift_ratio_vs_baseline_mean,lift_ratio_vs_baseline_std,lift_ratio_vs_baseline_min,lift_ratio_vs_baseline_max,lift_ratio_vs_baseline_count,delta_precision_at_k_vs_baseline_mean,delta_precision_at_k_vs_baseline_std,delta_precision_at_k_vs_baseline_min,delta_precision_at_k_vs_baseline_max,delta_precision_at_k_vs_baseline_count,delta_recall_at_k_vs_baseline_mean,delta_recall_at_k_vs_baseline_std,delta_recall_at_k_vs_baseline_min,delta_recall_at_k_vs_baseline_max,delta_recall_at_k_vs_baseline_count,test_cosine_delta_mean,test_cosine_delta_std,test_cosine_delta_min,test_cosine_delta_max,test_cosine_delta_count,test_l2_delta_mean,test_l2_delta_std,test_l2_delta_min,test_l2_delta_max,test_l2_delta_count,test_pos_cosine_mean_mean,test_pos_cosine_mean_std,test_pos_cosine_mean_min,test_pos_cosine_mean_max,test_pos_cosine_mean_count,test_neg_cosine_mean_mean,test_neg_cosine_mean_std,test_neg_cosine_mean_min,test_neg_cosine_mean_max,test_neg_cosine_mean_count,test_pos_l2_mean_mean,test_pos_l2_mean_std,test_pos_l2_mean_min,test_pos_l2_mean_max,test_pos_l2_mean_count,test_neg_l2_mean_mean,test_neg_l2_mean_std,test_neg_l2_mean_min,test_neg_l2_mean_max,test_neg_l2_mean_count
Non-Specific,full_candidate,baseline,lr,0.819876728445225,0.04897823189718691,0.7222727272727273,0.8755231659615075,12,0.16914000723311362,0.04528035583136966,0.0715178817849518,0.2332113513055053,12,10.312138870142178,3.7186237428998683,4.288606773242457,16.1347213678903,12,0.2194279610165628,0.04633381274895095,0.1379310344827586,0.3146067415730337,12,0.2194279610165628,0.04633381274895095,0.1379310344827586,0.3146067415730337,12,0.18651973541396713,0.05001521891889442,0.0888888888888888,0.2469135802469135,12,0.9919758336462273,0.0073590469944155015,0.9811653914067098,1.0,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.0,0.0,0.0,0.0,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.12519072958578661,0.050900454160149954,0.0452101156115531,0.2317942567169666,12,0.046690384546915674,0.041667285370859404,-0.0195740461349487,0.1115617752075195,12,0.16635515354573724,0.059783563740647555,0.0836746171116828,0.2767662107944488,12,0.041164423959950576,0.014533266948557088,0.023390619084239,0.0772869288921356,12,0.83065365254879,0.03607633677509946,0.767549991607666,0.8800994753837585,12,0.8773440370957056,0.03175090717303562,0.8394590020179749,0.9426965117454528,12
Non-Specific,full_candidate,baseline,mlp,0.80995529073795,0.10506287752771976,0.5032954545454547,0.8975155279503105,12,0.17517425342524884,0.07399867887277141,0.0588702940287349,0.2728822243428576,12,10.59920886345771,5.288392055786206,4.3403462233912835,21.551805409224446,12,0.20917695302745157,0.075954330741072,0.0769230769230769,0.2878787878787879,12,0.20917695302745157,0.075954330741072,0.0769230769230769,0.2878787878787879,12,0.09211595541994506,0.12227086015106106,0.0,0.3193277310924369,12,0.9992391571068301,0.0010786750134680373,0.9966159052453468,1.0,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.0,0.0,0.0,0.0,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,12,0.12519072958578661,0.050900454160149954,0.0452101156115531,0.2317942567169666,12,0.046690384546915674,0.041667285370859404,-0.0195740461349487,0.1115617752075195,12,0.16635515354573724,0.059783563740647555,0.0836746171116828,0.2767662107944488,12,0.041164423959950576,0.014533266948557088,0.023390619084239,0.0772869288921356,12,0.83065365254879,0.03607633677509946,0.767549991607666,0.8800994753837585,12,0.8773440370957056,0.03175090717303562,0.8394590020179749,0.9426965117454528,12
Non-Specific,full_candidate,cl_scratch_v5,lr,0.8276055609426004,0.04039117731879523,0.7607954545454546,0.8860774138963831,12,0.1910561549671107,0.04548422300386936,0.1006804442755869,0.277888941861421,12,11.54140061006497,3.6490964061300044,6.037354917077439,17.934998049995457,12,0.24647507543963096,0.07053932172372095,0.1034482758620689,0.3695652173913043,12,0.24647507543963096,0.07053932172372095,0.1034482758620689,0.3695652173913043,12,0.21730238750718447,0.07400161256084142,0.1025641025641025,0.3655913978494624,12,0.9918444765793636,0.007710006231506648,0.9758883248730964,1.0,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.021916147733997072,0.03814846784250277,-0.026352434319226403,0.1264331770084117,12,1.16607084853458,0.2582818387695502,0.8768833282672819,1.8347861643372736,12,0.02704711442306812,0.051467041654523885,-0.0392156862745098,0.15217391304347833,12,0.02704711442306812,0.051467041654523885,-0.0392156862745098,0.15217391304347833,12,0.12231885548681017,0.048281679623201915,0.0609431322664022,0.2217836417257785,12,0.10644767681757605,0.06013017584606339,0.0200505256652832,0.2161344289779663,12,0.1631326389809449,0.06772752039624687,0.0888311341404914,0.2981187999248504,12,0.040813783494134705,0.02314510033613035,0.0199273638427257,0.0961245000362396,12,1.4840632279713948,0.05579548147998458,1.4035743474960327,1.5555849075317385,12,1.590510904788971,0.02971938113094202,1.541280746459961,1.631689429283142,12
Non-Specific,full_candidate,cl_scratch_v5,mlp,0.8152686983443234,0.09635575156023737,0.5552272727272728,0.8941840827183968,12,0.20265252203339387,0.08966331693043009,0.0545415067322921,0.3202992793560086,12,12.295274262560532,6.182189435786229,3.186278676800192,21.007670287327425,12,0.2407213008550149,0.08437941160841443,0.0769230769230769,0.3484848484848485,12,0.2407213008550149,0.08437941160841443,0.0769230769230769,0.3484848484848485,12,0.13156827721280087,0.12961882312412,0.0,0.3052631578947368,12,0.9990356661829272,0.0009776278570719301,0.997155441365388,1.0,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.027478268608145024,0.04260551644705673,-0.0385922151353188,0.1047799582282237,12,1.159534382624858,0.3247901491117713,0.6494516435616069,1.8315490084617665,12,0.03154434782756334,0.049107550607761834,-0.0476190476190477,0.10869565217391308,12,0.03154434782756334,0.049107550607761834,-0.0476190476190477,0.10869565217391308,12,0.12231885548681017,0.048281679623201915,0.0609431322664022,0.2217836417257785,12,0.10644767681757605,0.06013017584606339,0.0200505256652832,0.2161344289779663,12,0.1631326389809449,0.06772752039624687,0.0888311341404914,0.2981187999248504,12,0.040813783494134705,0.02314510033613035,0.0199273638427257,0.0961245000362396,12,1.4840632279713948,0.05579548147998458,1.4035743474960327,1.5555849075317385,12,1.590510904788971,0.02971938113094202,1.541280746459961,1.631689429283142,12
Non-Specific,full_candidate,cl_v6_fair,lr,0.8314813002643814,0.03939905764088489,0.7510227272727272,0.8868211390009836,12,0.19288100595593505,0.043504599153158824,0.1254714750286674,0.2786090569350928,12,11.593947769962922,3.362367603618121,6.876058648834329,18.61208476817096,12,0.23835020923797182,0.04270347744396754,0.1724137931034483,0.32608695652173914,12,0.23835020923797182,0.04270347744396754,0.1724137931034483,0.32608695652173914,12,0.21294915230530043,0.059866020737399564,0.12669683257918551,0.3269230769230769,12,0.9915093963706317,0.00779711869976093,0.9773104593248478,0.99875,12,0.01758694913568649,0.0053340472473145445,0.011061694605998403,0.027160493827160494,12,0.01758694913568649,0.0053340472473145445,0.011061694605998403,0.027160493827160494,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.02374099872282144,0.04157848937394881,-0.032253493257412946,0.1271532920820835,12,1.192655239045452,0.30857120951242684,0.8616984418774621,1.839540787407387,12,0.018922248221409005,0.044887520803579904,-0.02247191011235955,0.10869565217391314,12,0.018922248221409005,0.044887520803579904,-0.02247191011235955,0.10869565217391314,12,0.12324659045164783,0.04629642468164669,0.062038715928792953,0.22216252982616425,12,0.08906518419583638,0.048925605005945956,0.014967203140258789,0.17778074741363525,12,0.16424058564007282,0.0647333827642249,0.0919417142868042,0.2860060930252075,12,0.04099399518842498,0.023514588099823017,0.019093360751867294,0.09820497781038284,12,1.2445679207642872,0.04383748057013747,1.1758252382278442,1.2997376918792725,12,1.3336331049601238,0.02512003947963919,1.2919577360153198,1.3718053102493286,12
Non-Specific,full_candidate,cl_v6_fair,mlp,0.8228325550603923,0.09477334918972263,0.5743181818181818,0.8993562638796639,12,0.1908022967338712,0.06856615345053614,0.08077816464092673,0.2851776135949069,12,11.522488059429081,4.883870576242504,3.599806413998222,21.286869750899243,12,0.2196017073151132,0.0663894144469401,0.10256410256410256,0.29775280898876405,12,0.2196017073151132,0.0663894144469401,0.10256410256410256,0.29775280898876405,12,0.07456979955826747,0.10595022443412289,0.0,0.3,12,0.999456711778258,0.0007334356115050618,0.9977977610570747,1.0,12,0.01758694913568649,0.0053340472473145445,0.011061694605998403,0.027160493827160494,12,0.01758694913568649,0.0053340472473145445,0.011061694605998403,0.027160493827160494,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.01562804330862236,0.05505378952760259,-0.04090882515209465,0.1591718614840963,12,1.1924243141351727,0.5084602632674319,0.7337400237767611,2.2632110742382547,12,0.010424754287661646,0.04449702602101928,-0.06896551724137932,0.09090909090909093,12,0.010424754287661646,0.04449702602101928,-0.06896551724137932,0.09090909090909093,12,0.12324659045164783,0.04629642468164669,0.062038715928792953,0.22216252982616425,12,0.08906518419583638,0.048925605005945956,0.014967203140258789,0.17778074741363525,12,0.16424058564007282,0.0647333827642249,0.0919417142868042,0.2860060930252075,12,0.04099399518842498,0.023514588099823017,0.019093360751867294,0.09820497781038284,12,1.2445679207642872,0.04383748057013747,1.1758252382278442,1.2997376918792725,12,1.3336331049601238,0.02512003947963919,1.2919577360153198,1.3718053102493286,12
Non-Specific,full_candidate,minus,lr,0.8276287495113303,0.04405918938146321,0.7386363636363636,0.8824441766193947,12,0.1843735116244887,0.048357048327311664,0.1182591623810067,0.2478488733985609,12,11.410934082101157,4.599050348904607,4.905439798118177,18.616339173809344,12,0.24462074041245482,0.06997956883392124,0.1304347826086956,0.3636363636363636,12,0.24462074041245482,0.06997956883392124,0.1304347826086956,0.3636363636363636,12,0.1984642933941052,0.06164123708877053,0.1130434782608695,0.3037974683544304,12,0.9924369029418947,0.006165258606374205,0.9822335025380712,0.9980811403508772,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.015233504391375101,0.037354153773107,-0.03894002962055762,0.07163440754351108,12,1.1334636096431,0.31877644296017715,0.8040342592224731,1.9557065471943618,12,0.02519277939589198,0.07711408470561915,-0.0869565217391304,0.1818181818181818,12,0.02519277939589198,0.07711408470561915,-0.0869565217391304,0.1818181818181818,12,0.12896738946437833,0.0429183543658122,0.0676143653690815,0.2132933232933282,12,0.05298968652884161,0.03396957012722194,-0.0002062320709228,0.1157838106155395,12,0.1581775266677141,0.05486006674642353,0.0900762230157852,0.2717746496200561,12,0.029210137203335717,0.020044909884484503,0.0105169638991355,0.0798491463065147,12,0.7551766932010651,0.027234503007351012,0.7109338045120239,0.7899052500724792,12,0.8081663797299067,0.016966992850747407,0.7893958687782288,0.8381547331809998,12
Non-Specific,full_candidate,minus,mlp,0.8277777348300667,0.09049218327415431,0.5502272727272728,0.8988263352994357,12,0.1959076444698916,0.09003379384215617,0.0184730121637105,0.3205423903922368,12,11.92677888557701,6.694614765676377,1.361964805888114,24.778554684456942,12,0.2200046040330916,0.10046882158148665,0.0,0.3539325842696629,12,0.2200046040330916,0.10046882158148665,0.0,0.3539325842696629,12,0.12148036717951649,0.13946159547554654,0.0,0.3501945525291828,12,0.9990667135663549,0.0009995135594196103,0.9968801614975225,1.0,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.02073339104464277,0.04267671273218771,-0.06265311026073361,0.08759098708236349,12,1.1028815415449167,0.3562247222571802,0.31379174282183353,1.6951348300777187,12,0.010827651005640038,0.05816292134544854,-0.0909090909090909,0.0769230769230769,12,0.010827651005640038,0.05816292134544854,-0.0909090909090909,0.0769230769230769,12,0.12896738946437833,0.0429183543658122,0.0676143653690815,0.2132933232933282,12,0.05298968652884161,0.03396957012722194,-0.0002062320709228,0.1157838106155395,12,0.1581775266677141,0.05486006674642353,0.0900762230157852,0.2717746496200561,12,0.029210137203335717,0.020044909884484503,0.0105169638991355,0.0798491463065147,12,0.7551766932010651,0.027234503007351012,0.7109338045120239,0.7899052500724792,12,0.8081663797299067,0.016966992850747407,0.7893958687782288,0.8381547331809998,12
Non-Specific,full_candidate,scGPT_human,lr,0.8225141016456394,0.027521745327249502,0.7547727272727273,0.8621612733491186,12,0.18753234271788558,0.06384417825960889,0.1107051667862393,0.3155606462563513,12,10.82355942503874,2.5271275079409583,6.66293829912213,14.536970421326439,12,0.2297559593729719,0.05808698404988522,0.1366459627329192,0.3043478260869565,12,0.2297559593729719,0.05808698404988522,0.1366459627329192,0.3043478260869565,12,0.20590219240178642,0.09769207505781569,0.0,0.3,12,0.9904906759532107,0.0035802389580828937,0.985285462036492,0.9975,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.018392335484771972,0.06759857107602564,-0.08209697840604749,0.16410488140334198,12,1.1693447636072234,0.4496901970982819,0.5772590832693004,2.0835169038471983,12,0.010327998356409114,0.04909873154495044,-0.08695652173913049,0.08695652173913049,12,0.010327998356409114,0.04909873154495044,-0.08695652173913049,0.08695652173913049,12,0.11067759276678162,0.04141428768446784,0.0590741522610187,0.2035559527575969,12,0.1468299527963002,0.07839229017944395,0.0587272644042968,0.3249484300613403,12,0.13779508322477338,0.051748635900025826,0.0770670771598815,0.2366579622030258,12,0.027117490457991698,0.017739637898065694,0.0114346668124198,0.0730383992195129,12,2.0188401440779367,0.07909967589648492,1.8883479833602903,2.118883848190308,12,2.165670096874237,0.05415228105809434,2.046781301498413,2.213296413421631,12
Non-Specific,full_candidate,scGPT_human,mlp,0.8474735330686146,0.046111919101676835,0.7351136363636362,0.9102044820355516,12,0.2328322433135331,0.08908148766034316,0.0474223849749122,0.340320185184677,12,14.390862377699202,7.629426305941771,3.4963231104230807,27.52618957687179,12,0.25789655711944187,0.09270101281228597,0.0,0.3503649635036496,12,0.25789655711944187,0.09270101281228597,0.0,0.3503649635036496,12,0.1615121113132463,0.12454972040046083,0.0,0.3555555555555555,12,0.9988882014408887,0.0013794976453318196,0.9949238578680204,1.0,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,0.017586949135686442,0.005334047247314535,0.0110616946059984,0.0271604938271604,12,60.52944862900869,17.259857910211498,35.81818181818182,89.4020618556701,12,0.057657989888284265,0.06982918950497088,-0.048617385103362415,0.19213900237038628,12,1.408434716991353,0.585717089214426,0.791193599130186,2.605126147935612,12,0.04871960409199035,0.06928351826911165,-0.0909090909090909,0.1538461538461538,12,0.04871960409199035,0.06928351826911165,-0.0909090909090909,0.1538461538461538,12,0.11067759276678162,0.04141428768446784,0.0590741522610187,0.2035559527575969,12,0.1468299527963002,0.07839229017944395,0.0587272644042968,0.3249484300613403,12,0.13779508322477338,0.051748635900025826,0.0770670771598815,0.2366579622030258,12,0.027117490457991698,0.017739637898065694,0.0114346668124198,0.0730383992195129,12,2.0188401440779367,0.07909967589648492,1.8883479833602903,2.118883848190308,12,2.165670096874237,0.05415228105809434,2.046781301498413,2.213296413421631,12
