dataset,embedding,clf,coverage,negative_protocol,test_pos_cosine_mean,test_neg_cosine_mean,test_cosine_delta,test_pos_l2_mean,test_neg_l2_mean,test_l2_delta,auroc,auprc,random_auprc_baseline,test_positive_ratio,test_negative_to_positive_ratio,auprc_lift,auprc_gain,precision_at_k,recall_at_k,f1,specificity,delta_auprc_vs_baseline,lift_ratio_vs_baseline,delta_precision_at_k_vs_baseline,delta_recall_at_k_vs_baseline
hESC_Specific_500,minus,lr,442/500,tf_stratified_1to10,0.0367692224681377,0.0124549008905887,0.0243143215775489,0.8138553500175476,0.8037540316581726,-0.010101318359375,0.6525736463701726,0.3779165253948262,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.4177460183450874,0.1113550111992425,0.3964497041420118,0.3964497041420118,0.3916913946587537,0.7806451612903226,-0.06415108832158412,0.854883989844283,-0.029585798816568087,-0.029585798816568087
hESC_Specific_500,minus,mlp,442/500,tf_stratified_1to10,0.0367692224681377,0.0124549008905887,0.0243143215775489,0.8138553500175476,0.8037540316581726,-0.010101318359375,0.6847362728256029,0.4109999951974433,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.5418579701489883,0.1444384810018597,0.3846153846153846,0.3846153846153846,0.2904564315352697,0.9204301075268816,0.004422941037880712,1.0108784816866347,-0.035502958579881616,-0.035502958579881616
hESC_Specific_500,baseline,lr,442/500,tf_stratified_1to10,0.0553766153752803,0.0136985620483756,0.0416780533269047,0.8447434306144714,0.848376452922821,0.0036330223083496,0.6891264236177388,0.4420676137164103,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.6584074976106753,0.1755060995208267,0.4260355029585799,0.4260355029585799,0.4242424242424242,0.8043010752688172,0.0,1.0,0.0,0.0
hESC_Specific_500,baseline,mlp,442/500,tf_stratified_1to10,0.0553766153752803,0.0136985620483756,0.0416780533269047,0.8447434306144714,0.848376452922821,0.0036330223083496,0.6876884901698798,0.4065770541595626,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.5252653984447495,0.140015539963979,0.4201183431952662,0.4201183431952662,0.2661290322580645,0.9010752688172043,0.0,1.0,0.0,0.0
hESC_Specific_500,scGPT_human,lr,442/500,tf_stratified_1to10,0.0437144748866558,0.0114664388820528,0.0322480360046029,2.18829083442688,2.163501024246216,-0.024789810180664,0.6553986129668512,0.393632925908249,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.4767057693836085,0.1270714117126654,0.3964497041420118,0.3964497041420118,0.4450402144772118,0.7397849462365591,-0.04843468780816129,0.8904360185968463,-0.029585798816568087,-0.029585798816568087
hESC_Specific_500,scGPT_human,mlp,442/500,tf_stratified_1to10,0.0437144748866558,0.0114664388820528,0.0322480360046029,2.18829083442688,2.163501024246216,-0.024789810180664,0.7070178787300375,0.4633760553734334,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.7383456751879098,0.1968145411778498,0.4378698224852071,0.4378698224852071,0.3972602739726027,0.8602150537634409,0.056799001213870826,1.1397004593170668,0.01775147928994092,0.01775147928994092
hESC_Specific_500,v4_bias_rec_best,lr,442/500,tf_stratified_1to10,0.0545919463038444,0.0030655788723379,0.0515263674315065,1.5563905239105225,1.5392643213272097,-0.0171262025833129,0.655404975504231,0.4020978170101709,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.508461633044073,0.1355363028145872,0.3964497041420118,0.3964497041420118,0.4035087719298245,0.7763440860215054,-0.0399697967062394,0.9095844267572147,-0.029585798816568087,-0.029585798816568087
hESC_Specific_500,v4_bias_rec_best,mlp,442/500,tf_stratified_1to10,0.0545919463038444,0.0030655788723379,0.0515263674315065,1.5563905239105225,1.5392643213272097,-0.0171262025833129,0.6880702424126741,0.4406707343723678,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.6531671336809537,0.1741092201767842,0.4201183431952662,0.4201183431952662,0.3052208835341365,0.9096774193548388,0.03409368021280523,1.083855396815938,0.0,0.0
hESC_Specific_500,v4_plain_best,lr,442/500,tf_stratified_1to10,0.0450887866318225,0.0051546199247241,0.0399341667070984,1.5882607698440552,1.5863674879074097,-0.0018932819366455,0.6385315263727175,0.380977937642621,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.429230842990661,0.1144164234470374,0.3964497041420118,0.3964497041420118,0.382089552238806,0.7806451612903226,-0.06108967607378929,0.8618092025330343,-0.029585798816568087,-0.029585798816568087
hESC_Specific_500,v4_plain_best,mlp,442/500,tf_stratified_1to10,0.0450887866318225,0.0051546199247241,0.0399341667070984,1.5882607698440552,1.5863674879074097,-0.0018932819366455,0.6748234395877075,0.4225439426171904,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.5851648498183355,0.1559824284216068,0.4378698224852071,0.4378698224852071,0.3918918918918919,0.8516129032258064,0.015966888457627837,1.03927149428202,0.01775147928994092,0.01775147928994092
hESC_Specific_500,v4_type_pe_best,lr,442/500,tf_stratified_1to10,0.0604841113090515,0.0103600211441516,0.0501240901648998,1.5795143842697144,1.5796228647232056,0.0001084804534912,0.7019851116625309,0.4129327409916823,0.2665615141955836,0.2665615141955836,2.7514792899408285,1.5491086259687963,0.1463712267960987,0.4497041420118343,0.4497041420118343,0.4444444444444444,0.821505376344086,-0.029134872724727978,0.9340940801344967,0.023668639053254392,0.023668639053254392
