dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
hHep500,minus,in_domain,hHep500,hHep500,lr,487/500,0.0,0.5
hHep500,baseline,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,scGPT_human,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,v4_bias_rec_best,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,v4_plain_best,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,v4_type_pe_best,in_domain,hHep500,hHep500,lr,487/500,0.0,0.5
hHep500,scconcept,in_domain,hHep500,hHep500,lr,487/500,0.0,0.5
hHep500,scconcept_encoded,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,cl_scratch_v5,in_domain,hHep500,hHep500,lr,487/500,1.0,1.0
hHep500,random_256,in_domain,hHep500,hHep500,lr,500/500,1.0,1.0
mHSC-E500,minus,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6623455189698384,0.7529713945356387
mHSC-E500,minus,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.6562527007173105,0.7851174636497793
mHSC-E500,baseline,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6293103448275862,0.7543718838744
mHSC-E500,baseline,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.7151499438250799,0.833281357904529
mHSC-E500,scGPT_human,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6944948578342407,0.793279505028745
mHSC-E500,scGPT_human,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.7176346037507562,0.8160154102561563
mHSC-E500,v4_bias_rec_best,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6165845648604269,0.7362100104002067
mHSC-E500,v4_bias_rec_best,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.698945639961974,0.8175344770816045
mHSC-E500,v4_plain_best,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6377365828364014,0.7349906114843592
mHSC-E500,v4_plain_best,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.682460461498574,0.7942211996374973
mHSC-E500,v4_type_pe_best,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6634042001555613,0.7581778221931526
mHSC-E500,v4_type_pe_best,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.7002419842710224,0.8121814312448485
mHSC-E500,scconcept,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.5632183908045978,0.697452838970237
mHSC-E500,scconcept,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.6451473511364618,0.7867485952415347
mHSC-E500,scconcept_encoded,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.6020439028605997,0.7554162792646664
mHSC-E500,scconcept_encoded,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.643029988765016,0.7715865322627826
mHSC-E500,cl_scratch_v5,in_domain,mHSC-E500,mHSC-E500,lr,457/500,0.7050168524760176,0.8160084846464708
mHSC-E500,cl_scratch_v5,in_domain,mHSC-E500,mHSC-E500,mlp,457/500,0.7015383285800709,0.8150709324756504
mHSC-E500,random_256,in_domain,mHSC-E500,mHSC-E500,lr,500/500,0.5594157808313889,0.6927974941860009
mHSC-E500,random_256,in_domain,mHSC-E500,mHSC-E500,mlp,500/500,0.6145536254429176,0.7526375819702983
mHSC-GM500,minus,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7135173501577285,0.7689490353364183
mHSC-GM500,minus,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7290694006309149,0.810313893320109
mHSC-GM500,baseline,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7084542586750788,0.7766542169412671
mHSC-GM500,baseline,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7438170347003155,0.8231978577514298
mHSC-GM500,scGPT_human,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.6959463722397476,0.7387639913497912
mHSC-GM500,scGPT_human,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7471135646687695,0.8115148358580407
mHSC-GM500,v4_bias_rec_best,in_domain,mHSC-GM500,mHSC-GM500,lr,449/500,0.7291009463722398,0.7973600178014746
mHSC-GM500,v4_bias_rec_best,in_domain,mHSC-GM500,mHSC-GM500,mlp,449/500,0.7453470031545741,0.8160338767296381
