dataset,task,embedding,clf,accuracy,acc_std,f1_macro,f1_std,n_cells,n_classes,spearman_r,pearson_r,n_genes,n_pairs,pearson_r_std,mse,n_pert_genes
adamson,classification,minus,lr,0.2749352210722783,0.004302973647982062,0.24357645315478207,0.004839156435952162,39322.0,75.0,,,,,,,
adamson,classification,minus,mlp,0.2459183325691233,0.0019103967232153676,0.21005666503593606,0.004090457993648614,39322.0,75.0,,,,,,,
adamson,similarity,minus,,,,,,,,0.16333110430746386,0.17380045354366302,75.0,2775.0,,,
adamson,direction,minus,,,,,,,,,0.1293679028749466,,,0.3524835407733917,1.288451910018921,75.0
adamson,classification,baseline,lr,0.27437557679534924,0.005457825533685601,0.24447053298425625,0.005247072125873386,39322.0,75.0,,,,,,,
adamson,classification,baseline,mlp,0.25153862321900794,0.004656565174744656,0.21979340531654423,0.005833381688645687,39322.0,75.0,,,,,,,
adamson,similarity,baseline,,,,,,,,0.13821957565405496,0.1418350487947464,75.0,2775.0,,,
adamson,direction,baseline,,,,,,,,,0.10059698671102524,,,0.40298160910606384,1.390188217163086,75.0
adamson,classification,scGPT_human,lr,0.28953263327812484,0.002271739774524668,0.2655461798524726,0.0033327305291804316,39322.0,75.0,,,,,,,
adamson,classification,scGPT_human,mlp,0.27836828758959525,0.003528825715265822,0.24924338421312492,0.004497099590830772,39322.0,75.0,,,,,,,
adamson,similarity,scGPT_human,,,,,,,,0.13225146579364006,0.15546855330467224,75.0,2775.0,,,
adamson,direction,scGPT_human,,,,,,,,,0.16761809587478638,,,0.3615615665912628,1.1142642498016357,75.0
adamson,classification,v4_bias_rec_best,lr,0.26689897358721926,0.004175020140901889,0.23456639728207293,0.004479282985669039,39322.0,75.0,,,,,,,
adamson,classification,v4_bias_rec_best,mlp,0.23274519663264695,0.00404565321001155,0.19596129729588876,0.008124910774146055,39322.0,75.0,,,,,,,
adamson,similarity,v4_bias_rec_best,,,,,,,,0.10005954884226095,0.09774422645568848,75.0,2775.0,,,
adamson,direction,v4_bias_rec_best,,,,,,,,,0.14726054668426514,,,0.3731161653995514,1.5713744163513184,75.0
adamson,classification,v4_plain_best,lr,0.2703829177388782,0.0019273310314431163,0.2412820050407074,0.002603476208762452,39322.0,75.0,,,,,,,
adamson,classification,v4_plain_best,mlp,0.24858866787517483,0.0024179105902050494,0.2148150929752024,0.006605602156652462,39322.0,75.0,,,,,,,
adamson,similarity,v4_plain_best,,,,,,,,0.11521046787499142,0.1429058462381363,75.0,2775.0,,,
adamson,direction,v4_plain_best,,,,,,,,,0.07509937137365341,,,0.39916953444480896,1.483412504196167,75.0
adamson,classification,v4_type_pe_best,lr,0.2722649148687251,0.005607393787635171,0.24248399944198468,0.005395820892240984,39322.0,75.0,,,,,,,
adamson,classification,v4_type_pe_best,mlp,0.24711353337312833,0.0049843366425374215,0.210255574255219,0.0022878467007335875,39322.0,75.0,,,,,,,
adamson,similarity,v4_type_pe_best,,,,,,,,0.11983341968522178,0.1475154161453247,75.0,2775.0,,,
adamson,direction,v4_type_pe_best,,,,,,,,,0.1096629723906517,,,0.36098265647888184,1.3561121225357056,75.0
adamson,classification,scconcept,lr,0.26804323855188555,0.0048146282075739915,0.2421524903826268,0.0038068434173507805,39322.0,75.0,,,,,,,
adamson,classification,scconcept,mlp,0.25631960428362904,0.003835406054045188,0.22648419537910086,0.005751906171097147,39322.0,75.0,,,,,,,
adamson,similarity,scconcept,,,,,,,,0.03056189144669238,0.012188504450023174,75.0,2775.0,,,
adamson,direction,scconcept,,,,,,,,,0.015239582397043705,,,0.23647604882717133,1.3038749694824219,75.0
adamson,classification,scconcept_encoded,lr,0.2564976177988293,0.00564287666258986,0.22771873142562837,0.005271165646020091,39322.0,75.0,,,,,,,
adamson,classification,scconcept_encoded,mlp,0.16848091102460844,0.004322860900463061,0.13690498362557313,0.0019468481725853648,39322.0,75.0,,,,,,,
adamson,similarity,scconcept_encoded,,,,,,,,-0.008603042144864684,0.023944003507494926,75.0,2775.0,,,
adamson,direction,scconcept_encoded,,,,,,,,,0.09322359412908554,,,0.4204757809638977,1.9604346752166748,75.0
adamson,classification,cl_scratch_v5,lr,0.2686535017742823,0.005040586868131597,0.2386586019757022,0.004901922824690283,39322.0,75.0,,,,,,,
adamson,classification,cl_scratch_v5,mlp,0.24858861290378909,0.001895945670755973,0.21128383589503916,0.0042266200086449575,39322.0,75.0,,,,,,,
adamson,similarity,cl_scratch_v5,,,,,,,,0.13516132005651318,0.14993208646774292,75.0,2775.0,,,
adamson,direction,cl_scratch_v5,,,,,,,,,0.12358841300010681,,,0.37339457869529724,1.3225514888763428,75.0
adamson,classification,cl_v6_fair,lr,0.2714255373776321,0.004564893599751206,0.2409629394649646,0.003657548296054231,39322.0,75.0,,,,,,,
adamson,classification,cl_v6_fair,mlp,0.24622352723573476,0.002952174964090338,0.21719175720281791,0.004150516653747458,39322.0,75.0,,,,,,,
adamson,similarity,cl_v6_fair,,,,,,,,0.11779893239559247,0.1305641084909439,75.0,2775.0,,,
adamson,direction,cl_v6_fair,,,,,,,,,0.08399851620197296,,,0.3681051731109619,1.4352977275848389,75.0
dixit,classification,minus,lr,0.19468986490497678,0.0036081268971296216,0.09663545647803826,0.0029384607099832492,32693.0,19.0,,,,,,,
dixit,classification,minus,mlp,0.19992063993664666,0.00567168358702014,0.08340546380866379,0.00722863100576133,32693.0,19.0,,,,,,,
dixit,similarity,minus,,,,,,,,0.24991480068159458,0.3368050754070282,19.0,171.0,,,
dixit,direction,minus,,,,,,,,,0.24586795270442963,,,0.6041633486747742,1.2187280654907227,19.0
dixit,classification,baseline,lr,0.19279348498977195,0.003388454668987168,0.09725849490414082,0.002857731383166643,32693.0,19.0,,,,,,,
dixit,classification,baseline,mlp,0.19854419381071034,0.005207168079039396,0.08342865860356795,0.005261445065042122,32693.0,19.0,,,,,,,
dixit,similarity,baseline,,,,,,,,0.20250797993616051,0.30864644050598145,19.0,171.0,,,
dixit,direction,baseline,,,,,,,,,0.268281489610672,,,0.5919989943504333,1.243956208229065,19.0
dixit,classification,scGPT_human,lr,0.1841677047861781,0.0036269320611500575,0.11120287892076239,0.005035895854000111,32693.0,19.0,,,,,,,
dixit,classification,scGPT_human,mlp,0.1964335080418026,0.004554824147497668,0.08914572137230958,0.008974509169579769,32693.0,19.0,,,,,,,
dixit,similarity,scGPT_human,,,,,,,,0.3451124391004872,0.40533605217933655,19.0,171.0,,,
dixit,direction,scGPT_human,,,,,,,,,0.21090544760227203,,,0.6284019947052002,1.1227915287017822,19.0
dixit,classification,v4_bias_rec_best,lr,0.19438416211908024,0.003604480228984955,0.09770123718483638,0.0028213693002206,32693.0,19.0,,,,,,,
dixit,classification,v4_bias_rec_best,mlp,0.20209209013982088,0.005667137992154048,0.07783045696389836,0.004211029543494955,32693.0,19.0,,,,,,,
dixit,similarity,v4_bias_rec_best,,,,,,,,0.18663930688554495,0.32848042249679565,19.0,171.0,,,
dixit,direction,v4_bias_rec_best,,,,,,,,,0.3644886612892151,,,0.49261602759361267,1.0476853847503662,19.0
dixit,classification,v4_plain_best,lr,0.19349718569772975,0.003430538191889988,0.09685648220639473,0.0038038099248826236,32693.0,19.0,,,,,,,
dixit,classification,v4_plain_best,mlp,0.1999510619180182,0.003936870435517283,0.08432631868451945,0.007339784813970211,32693.0,19.0,,,,,,,
dixit,similarity,v4_plain_best,,,,,,,,0.2171886624907001,0.3194720149040222,19.0,171.0,,,
dixit,direction,v4_plain_best,,,,,,,,,0.2703966200351715,,,0.5774921774864197,1.1358028650283813,19.0
dixit,classification,v4_type_pe_best,lr,0.1936501329926645,0.0024627450153907136,0.09939685936400568,0.003572803592326422,32693.0,19.0,,,,,,,
dixit,classification,v4_type_pe_best,mlp,0.19854372131799644,0.00672859820259401,0.08656895666793488,0.0038350913712072022,32693.0,19.0,,,,,,,
dixit,similarity,v4_type_pe_best,,,,,,,,0.15608275133798932,0.2966306805610657,19.0,171.0,,,
dixit,direction,v4_type_pe_best,,,,,,,,,0.20867636799812317,,,0.6377055644989014,1.2515673637390137,19.0
dixit,classification,scconcept,lr,0.18159854670597494,0.0034252277879589497,0.10930358122064417,0.003483002758658584,32693.0,19.0,,,,,,,
dixit,classification,scconcept,mlp,0.19334428050610614,0.003395221865218335,0.07752550903552914,0.0011222821562553355,32693.0,19.0,,,,,,,
dixit,similarity,scconcept,,,,,,,,0.0718842249262006,0.04799317941069603,19.0,171.0,,,
dixit,direction,scconcept,,,,,,,,,0.027547510340809822,,,0.37765786051750183,1.2516398429870605,19.0
dixit,classification,scconcept_encoded,lr,0.18606420165502502,0.0025386013304529603,0.10242598429547249,0.003063349024051184,32693.0,19.0,,,,,,,
dixit,classification,scconcept_encoded,mlp,0.18560541122982321,0.004653847060890182,0.07838569988604681,0.005171272044513903,32693.0,19.0,,,,,,,
dixit,similarity,scconcept_encoded,,,,,,,,0.15264597883216935,0.15125682950019836,19.0,171.0,,,
dixit,direction,scconcept_encoded,,,,,,,,,0.20105493068695068,,,0.4709602892398834,1.4200581312179565,19.0
dixit,classification,cl_scratch_v5,lr,0.1912337023345491,0.001740741274783483,0.09553824300284527,0.0023710161127065863,32693.0,19.0,,,,,,,
dixit,classification,cl_scratch_v5,mlp,0.19839095647074328,0.002055528245055369,0.07834825283745668,0.006280849969959015,32693.0,19.0,,,,,,,
dixit,similarity,cl_scratch_v5,,,,,,,,0.2715770273837809,0.37593114376068115,19.0,171.0,,,
dixit,direction,cl_scratch_v5,,,,,,,,,0.2904423177242279,,,0.6049852967262268,1.0830657482147217,19.0
dixit,classification,cl_v6_fair,lr,0.19325237833417877,0.002994925986692897,0.0979157312791802,0.00217015542655811,32693.0,19.0,,,,,,,
dixit,classification,cl_v6_fair,mlp,0.2023367899060212,0.0028815906632846506,0.07602370846983134,0.004247590957210987,32693.0,19.0,,,,,,,
dixit,similarity,cl_v6_fair,,,,,,,,0.24841721266229874,0.346619188785553,19.0,171.0,,,
dixit,direction,cl_v6_fair,,,,,,,,,0.3404117524623871,,,0.5692236423492432,1.1140451431274414,19.0
norman,classification,minus,lr,0.4781930451738707,0.0034471615153796,0.4309387710948706,0.0037813933321900455,46155.0,100.0,,,,,,,
norman,classification,minus,mlp,0.4116130430072582,0.0020956866713194703,0.35958055268224765,0.0020887873197153067,46155.0,100.0,,,,,,,
norman,similarity,minus,,,,,,,,0.0657281862168168,0.04897111654281616,100.0,4950.0,,,
norman,direction,minus,,,,,,,,,0.044578198343515396,,,0.38444003462791443,1.7564640045166016,100.0
norman,classification,baseline,lr,0.471563210919727,0.0032332653882708937,0.42389752428513183,0.002074498772173655,46155.0,100.0,,,,,,,
norman,classification,baseline,mlp,0.416487921135305,0.003989509683408481,0.36493867236725436,0.003950234015123142,46155.0,100.0,,,,,,,
norman,similarity,baseline,,,,,,,,0.10099792549919331,0.08312288671731949,100.0,4950.0,,,
norman,direction,baseline,,,,,,,,,0.14219114184379578,,,0.3693232238292694,1.4938243627548218,100.0
norman,classification,scGPT_human,lr,0.5066190011916369,0.004309653144020937,0.4623924447993284,0.007571536375581841,46155.0,100.0,,,,,,,
norman,classification,scGPT_human,mlp,0.47063156754414476,0.0039865670024916075,0.4188200116753077,0.0037007899877217225,46155.0,100.0,,,,,,,
norman,similarity,scGPT_human,,,,,,,,0.06820298719141037,0.04756070673465729,100.0,4950.0,,,
norman,direction,scGPT_human,,,,,,,,,0.06884635239839554,,,0.37095358967781067,1.2931907176971436,100.0
norman,classification,v4_bias_rec_best,lr,0.47340483154587804,0.002830727116989206,0.4245079609191952,0.003550280485525652,46155.0,100.0,,,,,,,
norman,classification,v4_bias_rec_best,mlp,0.3974433972484021,0.004818168200032679,0.3422830972284555,0.0058039136092408496,46155.0,100.0,,,,,,,
norman,similarity,v4_bias_rec_best,,,,,,,,0.06351933441226888,0.03666555508971214,100.0,4950.0,,,
norman,direction,v4_bias_rec_best,,,,,,,,,0.09134545177221298,,,0.4079631567001343,1.9016412496566772,100.0
norman,classification,v4_plain_best,lr,0.4662983425414365,0.0050925073470752345,0.41831264734853485,0.004365792489655668,46155.0,100.0,,,,,,,
norman,classification,v4_plain_best,mlp,0.4153829487596143,0.004108345227566699,0.3610803792090918,0.002322565228330491,46155.0,100.0,,,,,,,
norman,similarity,v4_plain_best,,,,,,,,0.05383238556058951,0.04358288273215294,100.0,4950.0,,,
norman,direction,v4_plain_best,,,,,,,,,0.0855259820818901,,,0.3532114326953888,1.5993635654449463,100.0
norman,classification,v4_type_pe_best,lr,0.4724515220452822,0.003826019292322659,0.4267405911653353,0.003146639431613094,46155.0,100.0,,,,,,,
norman,classification,v4_type_pe_best,mlp,0.41267468313292166,0.002154227411414664,0.360254736744579,0.0013315897842052246,46155.0,100.0,,,,,,,
norman,similarity,v4_type_pe_best,,,,,,,,0.0423628324378378,0.03197276219725609,100.0,4950.0,,,
norman,direction,v4_type_pe_best,,,,,,,,,0.06432093679904938,,,0.3467327058315277,1.7081706523895264,100.0
norman,classification,scconcept,lr,0.48148629617592886,0.003286973245544423,0.4337034240515685,0.0034038053844725595,46155.0,100.0,,,,,,,
norman,classification,scconcept,mlp,0.4703065756689416,0.003601793721558473,0.4196036625572811,0.0048642782098634926,46155.0,100.0,,,,,,,
norman,similarity,scconcept,,,,,,,,0.0060252708398140405,0.010790092870593071,100.0,4950.0,,,
norman,direction,scconcept,,,,,,,,,0.07393787056207657,,,0.17823466658592224,1.1928508281707764,100.0
norman,classification,scconcept_encoded,lr,0.49435597443397244,0.0015451456465973732,0.44411552767984874,0.003114797598536093,46155.0,100.0,,,,,,,
norman,classification,scconcept_encoded,mlp,0.3490846062181779,0.004417233542385364,0.2849439823840653,0.0026402442152282553,46155.0,100.0,,,,,,,
norman,similarity,scconcept_encoded,,,,,,,,-0.030606440394162042,-0.03598746657371521,100.0,4950.0,,,
norman,direction,scconcept_encoded,,,,,,,,,0.04997507110238075,,,0.35701680183410645,2.065061092376709,100.0
norman,classification,cl_scratch_v5,lr,0.46935326616834583,0.0037317345280788337,0.42168457179509167,0.0026380579328264724,46155.0,100.0,,,,,,,
norman,classification,cl_scratch_v5,mlp,0.4184378723865237,0.0031706654758837266,0.36816083429126173,0.002582402410412547,46155.0,100.0,,,,,,,
norman,similarity,cl_scratch_v5,,,,,,,,0.0462040820900562,0.03655508905649185,100.0,4950.0,,,
norman,direction,cl_scratch_v5,,,,,,,,,0.14716963469982147,,,0.3132838010787964,1.4913263320922852,100.0
norman,classification,cl_v6_fair,lr,0.4679666341674791,0.0016548721875357705,0.4213387830812416,0.0028876337353645645,46155.0,100.0,,,,,,,
norman,classification,cl_v6_fair,mlp,0.4146679666341675,0.00395096507698401,0.3634301756478103,0.0034564890530929438,46155.0,100.0,,,,,,,
norman,similarity,cl_v6_fair,,,,,,,,0.04974526923670595,0.04031053185462952,100.0,4950.0,,,
norman,direction,cl_v6_fair,,,,,,,,,0.10422500967979431,,,0.3434925377368927,1.623295783996582,100.0
