dataset,method,metric,comparator,mean_diff,median_diff,ci_lower,ci_upper,wins,losses,ties,n_folds,wilcoxon_stat,wilcoxon_p
adamson,frozen_backbone_trainable_head,mse,cl_scratch_v5,-0.025211822986602694,-0.05471336841583252,-0.06463129520416251,0.024452173709869518,2,3,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,mse,minus,-0.07237719297409051,-0.07465839385986328,-0.12315306663513163,-0.023603379726409912,1,4,0,5,1.0,0.125
adamson,frozen_backbone_trainable_head,mse,scGPT_human,-0.03139351606369014,-0.10035926103591919,-0.10860501527786255,0.1055747509002686,1,4,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,mse,scconcept,0.08657699823379521,-0.0379406213760376,-0.06546510457992553,0.34932160139083857,1,4,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,mse,scconcept_encoded,0.4118260979652405,0.2649099826812744,0.20343658924102784,0.6765453815460205,5,0,0,5,0.0,0.0625
adamson,frozen_backbone_trainable_head,mse,v4_bias_rec_best,0.019628489017486574,0.018760442733764426,-0.022675037384033158,0.05474914312362662,4,1,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,mse,v4_plain_best,0.05335080623626713,-0.005483567714691162,-0.0175026535987854,0.1502941727638245,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,mse,v4_type_pe_best,-0.0053593158721923825,0.008314132690429688,-0.053111147880554155,0.039849042892456055,3,2,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,pearson_r,cl_scratch_v5,-0.023189949691295647,-0.02953655769427621,-0.06678658396005632,0.021365098084012612,2,3,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,pearson_r,minus,-0.003773509114980736,-0.028177352746327794,-0.03027144829432175,0.02751790627837178,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,pearson_r,scGPT_human,0.003314606646696694,0.011658810327450392,-0.03041843429207804,0.037047647585471424,3,2,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,pearson_r,scconcept,0.18292092661062867,0.1830375805497168,0.13262400378783537,0.23321784943342197,5,0,0,5,0.0,0.0625
adamson,frozen_backbone_trainable_head,pearson_r,scconcept_encoded,0.169212319056193,0.1635862549146016,0.10764626776178673,0.2500008760392665,5,0,0,5,0.0,0.0625
adamson,frozen_backbone_trainable_head,pearson_r,v4_bias_rec_best,-0.05652951070417964,-0.029482530740400206,-0.1010705771297217,-0.013710807996491606,0,5,0,5,0.0,0.0625
adamson,frozen_backbone_trainable_head,pearson_r,v4_plain_best,0.03606047394375,-0.0175223410129548,-0.03824671248594924,0.1278480543444553,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,pearson_r,v4_type_pe_best,-0.0004999404524763801,-0.010712638869881691,-0.028607220550378183,0.030354038079579638,2,3,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,sign_acc,cl_scratch_v5,0.0001562500000000133,0.010677083333333393,-0.025260416666666608,0.02442708333333332,3,2,0,5,7.5,1.0
adamson,frozen_backbone_trainable_head,sign_acc,minus,0.0032812500000000133,-0.007552083333333237,-0.010052083333333317,0.0171875,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,sign_acc,scGPT_human,0.014010416666666692,0.026562500000000044,-0.003906249999999978,0.030208333333333347,3,2,0,5,3.0,0.3125
adamson,frozen_backbone_trainable_head,sign_acc,scconcept,0.08875000000000002,0.07604166666666667,0.07270833333333333,0.1097526041666665,5,0,0,5,0.0,0.0625
adamson,frozen_backbone_trainable_head,sign_acc,scconcept_encoded,0.07109375000000001,0.0625,0.046875,0.10307291666666671,5,0,0,5,0.0,0.0625
adamson,frozen_backbone_trainable_head,sign_acc,v4_bias_rec_best,-0.019114583333333313,-0.013541666666666674,-0.04635416666666663,0.008125000000000004,2,3,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,sign_acc,v4_plain_best,0.02234375000000003,0.016406250000000067,-0.006822916666666612,0.05416666666666666,3,2,0,5,3.0,0.3125
adamson,frozen_backbone_trainable_head,sign_acc,v4_type_pe_best,0.0028125000000000177,-0.004687499999999956,-0.013645833333333312,0.022343750000000016,2,3,0,5,7.0,1.0
norman,frozen_backbone_trainable_head,mse,cl_scratch_v5,-0.01647100448608412,-0.04761922359466575,-0.0700290679931641,0.05262469053268415,2,3,0,5,6.0,0.8125
norman,frozen_backbone_trainable_head,mse,minus,0.1065859556198119,0.11872154474258412,0.014493465423583807,0.19053331613540644,4,1,0,5,1.0,0.125
norman,frozen_backbone_trainable_head,mse,scGPT_human,-0.022002685070037865,-0.04038733243942261,-0.09816088676452635,0.06320080757141103,2,3,0,5,5.0,0.625
norman,frozen_backbone_trainable_head,mse,scconcept,-0.059123432636261054,-0.06007218360900879,-0.16024711132049568,0.05806080102920517,1,4,0,5,4.0,0.4375
norman,frozen_backbone_trainable_head,mse,scconcept_encoded,0.38489930629730223,0.42216289043426514,0.195739221572876,0.5895897150039671,5,0,0,5,0.0,0.0625
norman,frozen_backbone_trainable_head,mse,v4_bias_rec_best,0.08644450902938834,0.09591031074523926,0.026764810085296586,0.14306931495666492,4,1,0,5,1.0,0.125
norman,frozen_backbone_trainable_head,mse,v4_plain_best,0.040267229080200126,0.07103985548019409,-0.04997228384017947,0.12435621023178092,3,2,0,5,5.0,0.625
norman,frozen_backbone_trainable_head,mse,v4_type_pe_best,0.09675664901733391,0.06812942028045654,-0.0074121713638305884,0.20791457891464216,4,1,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,pearson_r,cl_scratch_v5,-0.03676793902181093,-0.06230034083127972,-0.06694180320948366,1.0759839787999326e-05,1,4,0,5,2.0,0.1875
norman,frozen_backbone_trainable_head,pearson_r,minus,0.09245051297359164,0.08338722158223391,0.01588597056455906,0.18824797060340634,4,1,0,5,1.0,0.125
norman,frozen_backbone_trainable_head,pearson_r,scGPT_human,0.050415347786620233,0.0627962413243949,-0.030762391425669222,0.1315930869989097,3,2,0,5,4.0,0.4375
norman,frozen_backbone_trainable_head,pearson_r,scconcept,0.029377824598923317,0.05564384944736958,-0.050998539533466114,0.10975418873131275,3,2,0,5,5.0,0.625
norman,frozen_backbone_trainable_head,pearson_r,scconcept_encoded,0.11358459921553724,0.1315040895249694,0.00292550173588092,0.2242436966951936,3,2,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,pearson_r,v4_bias_rec_best,0.017137434901669597,0.030714769475161996,-0.07125398893840615,0.10165729496628048,3,2,0,5,6.0,0.8125
norman,frozen_backbone_trainable_head,pearson_r,v4_plain_best,0.02380905694328246,0.04867816427722571,-0.0334277639165521,0.08104587780311703,3,2,0,5,4.0,0.4375
norman,frozen_backbone_trainable_head,pearson_r,v4_type_pe_best,0.04216232572682198,0.0446393283549695,-0.020673950714990535,0.10499860216863448,3,2,0,5,4.0,0.4375
norman,frozen_backbone_trainable_head,sign_acc,cl_scratch_v5,-0.013710937499999997,-0.02187500000000009,-0.027187499999999986,0.0025000000000000135,1,4,0,5,2.0,0.1875
norman,frozen_backbone_trainable_head,sign_acc,minus,0.029414062500000015,0.02382812500000009,-0.004453125000000002,0.0739453125,3,2,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,sign_acc,scGPT_human,0.02152343750000002,0.03242187499999993,-0.018124999999999992,0.06117187500000003,3,2,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,sign_acc,scconcept,0.0038281250000000155,0.025000000000000022,-0.03437499999999999,0.038359374999999994,3,2,0,5,7.0,1.0
norman,frozen_backbone_trainable_head,sign_acc,scconcept_encoded,0.039140625000000005,0.049609374999999956,-0.004609375000000004,0.08289062500000002,3,2,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,sign_acc,v4_bias_rec_best,0.0020703125000000157,0.002539062499999911,-0.03785156250000001,0.04253906250000007,3,2,0,5,7.0,1.0
norman,frozen_backbone_trainable_head,sign_acc,v4_plain_best,0.01039062500000001,0.017382812499999956,-0.013906250000000009,0.03261718750000005,3,2,0,5,5.0,0.625
norman,frozen_backbone_trainable_head,sign_acc,v4_type_pe_best,0.014765625000000015,0.020703125000000044,-0.01441406249999998,0.04132812500000003,3,2,0,5,4.0,0.4375
adamson,frozen_linear,mse,cl_scratch_v5,-0.05189558267593386,-0.1269686222076416,-0.16579008102416992,0.08924673795700071,2,3,0,5,6.0,0.8125
adamson,frozen_linear,mse,minus,-0.06672085523605338,-0.06121784448623657,-0.11167751550674421,-0.021764194965362547,1,4,0,5,1.0,0.125
adamson,frozen_linear,mse,scGPT_human,-0.25769846439361566,-0.3069643974304199,-0.3536632537841797,-0.14321389198303197,0,5,0,5,0.0,0.0625
adamson,frozen_linear,mse,scconcept,-0.06257541179656982,-0.21051007509231567,-0.25705374479293824,0.20689948797225952,1,4,0,5,5.0,0.625
adamson,frozen_linear,mse,scconcept_encoded,0.7431292057037353,0.7410587072372441,0.4912877321243285,0.972181298136708,5,0,0,5,0.0,0.0625
adamson,frozen_linear,mse,v4_bias_rec_best,0.19679512977600103,0.19028365612030052,0.12162845134735112,0.27196180820465093,5,0,0,5,0.0,0.0625
adamson,frozen_linear,mse,v4_plain_best,0.09759677648544314,0.12494075298309326,0.035630309581756614,0.15700953006744384,5,0,0,5,0.0,0.0625
adamson,frozen_linear,mse,v4_type_pe_best,0.02131497859954834,-0.030631303787231667,-0.0612531185150146,0.10956420898437505,2,3,0,5,6.0,0.8125
adamson,frozen_linear,pearson_r,cl_scratch_v5,-0.04783021961649257,-0.03500244220097859,-0.10600285053253174,0.010342411299546567,2,3,0,5,3.0,0.3125
adamson,frozen_linear,pearson_r,minus,-0.019449247233569618,-0.0007041197270155064,-0.04495381294439236,0.0016987006366252972,1,4,0,5,3.0,0.3125
adamson,frozen_linear,pearson_r,scGPT_human,-0.0606876643250386,-0.03781596074501678,-0.09981620552639167,-0.023454400599002834,0,5,0,5,0.0,0.0625
adamson,frozen_linear,pearson_r,scconcept,0.10308232977986335,0.1025472948948543,0.053889135668675134,0.1522755238910516,5,0,0,5,0.0,0.0625
adamson,frozen_linear,pearson_r,scconcept_encoded,0.11649813051645952,0.0940674010664224,0.0582116911187768,0.1761106838782628,5,0,0,5,0.0,0.0625
adamson,frozen_linear,pearson_r,v4_bias_rec_best,-0.07558555375784635,-0.0578794961174329,-0.11987085805584985,-0.03308108389377594,0,5,0,5,0.0,0.0625
adamson,frozen_linear,pearson_r,v4_plain_best,0.0008867775400479616,-0.0349680977563063,-0.07113012914856273,0.08557478795448939,2,3,0,5,7.0,1.0
adamson,frozen_linear,pearson_r,v4_type_pe_best,-0.00847107458859682,-0.05585704296827318,-0.07052920289337633,0.053587053716182685,2,3,0,5,7.0,1.0
adamson,frozen_linear,sign_acc,cl_scratch_v5,0.0038541666666666585,0.00911458333333326,-0.02546875000000002,0.033177083333333336,3,2,0,5,6.0,0.8125
adamson,frozen_linear,sign_acc,minus,0.0008854166666666608,-0.00520833333333337,-0.012499999999999978,0.015937499999999983,2,3,0,5,7.0,1.0
adamson,frozen_linear,sign_acc,scGPT_human,-0.010677083333333327,-0.006249999999999978,-0.027187499999999986,0.0058333333333333345,2,3,0,5,5.0,0.625
adamson,frozen_linear,sign_acc,scconcept,0.04880208333333336,0.04557291666666674,0.027447916666666673,0.06723958333333338,5,0,0,5,0.0,0.0625
adamson,frozen_linear,sign_acc,scconcept_encoded,0.03874999999999999,0.011458333333333348,0.0052083333333333036,0.07401041666666668,4,1,0,5,1.0,0.125
adamson,frozen_linear,sign_acc,v4_bias_rec_best,-0.024427083333333342,-0.027864583333333304,-0.0533854166666667,0.004531250000000009,2,3,0,5,3.0,0.3125
adamson,frozen_linear,sign_acc,v4_plain_best,0.008802083333333332,0.008072916666666652,-0.0234375,0.03739583333333335,3,2,0,5,5.0,0.625
adamson,frozen_linear,sign_acc,v4_type_pe_best,-0.0036458333333333703,-0.029166666666666674,-0.03187500000000003,0.027395833333333307,2,3,0,5,7.0,1.0
dixit,frozen_linear,mse,cl_scratch_v5,-0.034527986653541266,-0.0523822158575058,-0.3048143526882325,0.21241179490707016,7,12,0,19,86.0,0.7380905151367188
dixit,frozen_linear,mse,minus,-0.056662420497128836,0.026549488306045504,-0.5760540263629274,0.32655289566732554,10,9,0,19,85.0,0.70855712890625
dixit,frozen_linear,mse,scGPT_human,-0.04724103055502241,0.040749404579401,-0.4373632257706241,0.2958742118342534,11,8,0,19,88.0,0.7982521057128906
dixit,frozen_linear,mse,scconcept,0.07989966712499917,0.5812254399061203,-0.4851471723204381,0.558435001165459,13,6,0,19,69.0,0.312408447265625
dixit,frozen_linear,mse,scconcept_encoded,-0.017787821198764625,0.1263413578271866,-0.819895541996352,0.7849475072794838,11,8,0,19,93.0,0.9529838562011719
dixit,frozen_linear,mse,v4_bias_rec_best,-0.2870405529086527,-0.069589912891388,-0.6910677255866559,0.027965481939578464,8,11,0,19,68.0,0.2934989929199219
dixit,frozen_linear,mse,v4_plain_best,-0.02796953161688229,-0.0178318116813899,-0.24799304844713524,0.1964363115790643,8,11,0,19,86.0,0.7380905151367188
dixit,frozen_linear,mse,v4_type_pe_best,0.11696811059587882,0.0847274512052536,-0.15834949060196155,0.40337337824565017,12,7,0,19,74.0,0.4180412292480469
dixit,frozen_linear,pearson_r,cl_scratch_v5,0.10177049903493181,5.4001808166503906e-05,-0.1356651190864412,0.3901653426258186,10,9,0,19,84.0,0.6794281005859375
dixit,frozen_linear,pearson_r,minus,0.12078294706972022,0.002159237861633412,-0.22416565779008363,0.4814123568566222,13,6,0,19,67.0,0.2753410339355469
dixit,frozen_linear,pearson_r,scGPT_human,0.13243630763731504,0.0015333294868468128,-0.1320465096517613,0.479211808584238,11,8,0,19,77.0,0.48996734619140625
dixit,frozen_linear,pearson_r,scconcept,0.16732515865250638,0.0774764418601992,-0.29702747781810007,0.624439157212251,13,6,0,19,65.0,0.24125289916992188
