train_dataset,test_dataset,direction,protocol,embedding,clf,seed,n_common_genes,retained_fraction,n_train_edges,n_test_edges,oov_train_count,oov_test_count,oov_train_rate,oov_test_rate,oov_policy,auroc,auprc,f1,balanced_accuracy,precision_at_k,recall_at_k,calibration_brier
hESC,hHep,hESC->hHep,native,minus,lr,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.536229,0.577339,0.426168,0.536769,0.66,0.195556,0.450191
hESC,hHep,hESC->hHep,native,minus,lr,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.523902,0.588608,0.445896,0.552037,0.66,0.195556,0.432516
hESC,hHep,hESC->hHep,native,minus,lr,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.492355,0.559719,0.367793,0.521531,0.62,0.183704,0.466873
hESC,hHep,hESC->hHep,native,minus,lr,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.495285,0.564923,0.405797,0.536885,0.655,0.194074,0.451085
hESC,hHep,hESC->hHep,native,minus,lr,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.503928,0.554432,0.408663,0.526247,0.64,0.18963,0.459444
hESC,hHep,hESC->hHep,native,minus,mlp,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.561235,0.595431,0.445933,0.564207,0.645,0.191111,0.398462
hESC,hHep,hESC->hHep,native,minus,mlp,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.548295,0.586671,0.421365,0.560468,0.625,0.185185,0.416017
hESC,hHep,hESC->hHep,native,minus,mlp,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.564764,0.609103,0.480519,0.577928,0.67,0.198519,0.393116
hESC,hHep,hESC->hHep,native,minus,mlp,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.556481,0.586432,0.453608,0.560588,0.64,0.18963,0.408084
hESC,hHep,hESC->hHep,native,minus,mlp,4,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.564845,0.606011,0.47334,0.575857,0.68,0.201481,0.39614
hESC,hHep,hESC->hHep,native,baseline,lr,0,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.56727,0.590064,0.414397,0.547018,0.675,0.2,0.432468
hESC,hHep,hESC->hHep,native,baseline,lr,1,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.603571,0.633194,0.499546,0.584242,0.725,0.214815,0.398289
hESC,hHep,hESC->hHep,native,baseline,lr,2,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.58836,0.61053,0.479339,0.572289,0.705,0.208889,0.409768
hESC,hHep,hESC->hHep,native,baseline,lr,3,11515,1.0,5221,1307,1561,704,0.1116914710933028,0.0611376465479808,mean_embedding,0.612019,0.627948,0.494959,0.584494,0.74,0.219259,0.397025
